artist;title
Maître Gims;Je me tire
Maître Gims;Zombie
Maître Gims;Ciel
Soprano;Clown
Soprano;En feu
Sexion d'Assaut;Désolé
Sexion d'Assaut;Wati by Night
Tiakola;Meuda
Tiakola;Manon B
Tiakola;Melo
Foot 2 Rue;Foot2rue
L2B;Tout pour l’équipe
L2B;Overbooking
Zaz;Je veux
Indila;SOS
Indila;Love Story
Indila;Tourner dans le vide
Indila;Dernière danse
PLK;Problème
PLK;Un peu de haine
Dadju;Reine
Dadju;Jaloux
Dadju;Dieu merci
Aya Nakamura;Hypé
Aya Nakamura;Comportement
Aya Nakamura;Copines
Ninho;Jefe
Ninho;La vie qu’on mène
Ninho;Zipette
PNL;Deux frères
PNL;La misère est si belle
PNL;Hasta la vista
Theodora;Melodrama
Theodora;Fashion Disigna
Juice WRLD;Conversations
Juice WRLD;Lucid Dreams
Juice WRLD;Empty Out Your Pockets
Stromae;Formidable
Stromae;Tous les mêmes
Stromae;Papaoutai
Stromae;Ma meilleure ennemie
Pop Smoke;Dior
Pop Smoke;What You Know Bout Love
Lil Tecca;Ransom
24kGoldn;Mood
XXXTENTACION;Hope
XXXTENTACION;Moonlight
DJ Snake;Let Me Love You
DJ Snake;Taki Taki
Major Lazer & DJ Snake;Lean On
David Guetta;Titanium
David Guetta;I'm Good (Blue)
David Guetta;Memories
Johnny Hallyday;Sang pour sang
Johnny Hallyday;Allumer le feu
Nekfeu;On verra
Nekfeu;Tricheur
Taylor Swift;The Fate of Ophelia
Taylor Swift;Shake It Off
Taylor Swift;Blank Space
Shakira;Whenever, Wherever
Shakira;Waka Waka (This Time for Africa)
Shakira;Can't Remember to Forget You
Rihanna;Diamonds
Rihanna;Where Have You Been
Rihanna & Eminem;The Monster
Katy Perry;Roar
Katy Perry;Last Friday Night (T.G.I.F.)
Carly Rae Jepsen;Call Me Maybe
Michael Jackson;Billie Jean
Michael Jackson;Thriller
AMK;Malya 2.0
Guy2Bezbar;Monaco
Lamano1.9;Canon
Lamano1.9;Sexy Women
C418;Subwoofer Lullaby
Squeezie;Top 1
Squeezie;Mirador
Squeezie;Time Time
Orelsan;La Quête
Maheva;Tout ira mieux
Disney (Mulan);Comme un homme
Bruno Mars;That's What I Like
Bruno Mars & Rosé;APT.
Bruno Mars & Anderson .Paak;Leave The Door Open
Shawn Mendes;Mercy
Panic! At The Disco;High Hopes
Aaron Smith, Luvli, Krono;Dancin
Black Eyed Peas;I Gotta Feeling
Alex Warren;Ordinary
Benson Boone;Beautiful Things
GP Explorer;En boucle
Adele;Skyfall
Imagine Dragons;Believer
Imagine Dragons;Demons
Hozier;Too Sweet
Harry Styles;Sign of the Times
Flo Rida;Whistle
Avicii;The Nights
Avicii;Wake Me Up
Maroon 5;Girls Like You
Maroon 5 & Wiz Khalifa;Payphone
Gracie Abrams;That's So True
The Weeknd;Blinding Lights
Sabrina Carpenter;Espresso
Iyaz;Replay
The Weeknd, Madonna, Playboi Carti;Popular
The Weeknd;Save Your Tears
Tove Lo;Habits (Stay High)
David Kushner;Daylight
League of Legends;Legends Never Die
Coldplay;Viva La Vida
Coldplay;Adventure of a Lifetime
Olivia Rodrigo;drivers license
Olivia Rodrigo;vampire
Macklemore & Ryan Lewis;Can't Hold Us
OutKast;Hey Ya!
Lana Del Rey;Summertime Sadness
Ed Sheeran;Perfect
Ed Sheeran;Photograph
Ed Sheeran;Galway Girl
OneRepublic;Counting Stars
Émile & Images;Les démons de minuit
ABBA;Mamma Mia
Bee Gees;Stayin' Alive
Téléphone;Cendrillon
The Rolling Stones;Paint It, Black
Fool's Garden;Lemon Tree
Les Rita Mitsouko;Marcia Baïla
Bon Jovi;Livin' on a Prayer
BB Brunes;Dis-moi
Charles Aznavour;Emmenez-moi
Amel Bent;Ma philosophie
Zazie;Je suis un homme
Wham!;Wake Me Up Before You Go-Go
Diam's;La boulette
Claude François;Comme d'habitude
Daft Punk;One More Time
Luis Fonsi;Despacito
Pharrell Williams;Happy
Sabrina Carpenter;nonsense
Chappell Roan;HOT TO GO!
Jean-Jacques Goldman & Michael Jones;Je te donne
Owl City & Carly Rae Jepsen;Good Time
Britney Spears;Toxic
Backstreet Boys;I Want It That Way
Lady Gaga;Born This Way
Mika;Grace Kelly
David Bowie;Starman
Gorillaz feat. De La Soul;Feel Good Inc.
24kGoldn;City of Angels
Saint Motel;My Type
